vitamin_a_rae,name,magnesium,phosphorus,price_100g,folate_dfe,iron,price,riboflavin,thiamin,potassium,vitamin_k1,iodine,quantity,vitamin_b12,calcium,vitamin_b6,calories,niacin_ne,mercury,quantity_unit,vit_e_a_tocopherol,copper,pantothenic_acid,vitamin_c,molybdenum,biotin,o3_epa_dha_dpa,selenium,zinc,chromium,id,protein,edible_portion,manganese
5.85,Crabmeat; in brine; canned,30.0,190.0,787,0.029,0.9,589.0,0.0,0.0,22.0,0.0,39.3,170.0,3.1e-4,153.0,0.1,52.6,1.9,0.0,g,2.25,0.79,0.24,0.0,0.0,0.0034,0.0,0.045,8.1,0.0,76,11.13,0.44,0.19
0.17,Nut; almond; raw; dried; unblanched,268.0,484.0,200,0.05,3.72,900.0,1.01,0.21,705.0,0.0,2.0,450.0,0.0,264.0,0.14,548.22,6.95,0.0,g,26.34,1.0,0.47,0.0,0.0,0.0,0.0,0.0025,3.08,0.0,54,21.22,1.0,2.285
0.67,Nut; peanut; roasted; no salt added,180.0,388.0,60,0.145,1.2,600.0,0.15,0.35,540.0,0.0,0.74,1.0,0.0,31.0,0.3,622.98,22.8,0.0,kg,6.93,0.5,1.7,0.0,0.0,0.13,0.0,0.0046,2.4,0.0,2,24.99,1.0,1.59
16.03,Spice; cloves; ground,264.0,105.0,598,0.093,8.68,239.0,0.27,0.12,1.1e3,0.0,50.7,40.0,0.0,646.0,0.0,312.8,1.46,0.0,g,8.82,0.35,0.0,80.8,0.0,0.0,0.0,0.002,1.09,0.0,23,5.98,1.0,30.033
193.8,Herb; parsley; dried,249.0,351.0,4988,0.18,97.9,399.0,1.23,0.17,3.8e3,0.0,1.8,8.0,0.0,1470.0,1.0,209.4,10.43,0.0,g,9.15,0.64,1.61,122.0,0.0,0.0012,0.0,0.005,4.75,0.0,32,22.4,1.0,10.5
3.51,Nut; walnut; raw,97.9,320.0,200,0.066,3.3,900.0,0.07,0.32,575.0,0.0,9.0,450.0,0.0,129.0,0.92,699.36,5.85,0.0,g,15.0,1.59,1.13,3.1,0.0325,0.0025,0.0,0.058,2.3,0.034,9,25.71,1.0,4.09
380.84,Herb; thyme; dried; ground,220.0,201.0,1593,0.274,124.0,239.0,0.4,0.51,814.0,0.0,2.3,15.0,0.0,1890.0,1.21,273.73,8.04,0.0,g,7.48,0.86,0.0,0.0,0.0,0.0,0.0,0.0046,6.18,0.0,24,9.13,1.0,7.87
2.51,Seed; sunflower; dry roasted; no salt added,129.0,1160.0,139,0.2374,3.8,139.0,0.25,0.11,850.0,0.0,4.2,100.0,0.0,70.0,0.8,593.26,12.14,0.0,g,39.1,1.83,7.04,1.4,0.0,0.0,0.0,0.051,5.29,0.0,43,19.38,1.0,2.11
72.56,Herb; basil; dried,711.0,274.0,3990,0.31,89.8,399.0,1.2,0.08,2630.0,0.0,1.8,10.0,0.0,2240.0,1.34,167.83,9.32,0.0,g,10.78,2.1,0.84,0.8,0.0,0.0,0.0,0.003,7.1,0.0,5,22.98,1.0,9.8
2.67,Nut; hazelnut; raw,64.9,280.0,359,0.113,1.95,449.0,0.08,0.48,900.0,0.0,17.0,125.0,0.0,179.0,0.16,618.38,6.7,0.0,g,17.4,1.29,1.86,1.0,0.0605,0.076,0.0,0.076,2.1,0.021,33,14.79,1.0,7.69
4935.27,Spice; paprika,185.0,345.0,598,0.049,23.6,239.0,1.74,0.65,2340.0,0.0,3.0,40.0,0.0,177.0,2.06,315.11,18.4,0.0,g,29.83,0.61,1.78,71.1,0.0,0.0,0.0,0.0,4.06,0.0,41,14.73,1.0,0.843
4175.0,Spice; pepper; red or cayenne,152.0,293.0,598,0.106,7.8,239.0,0.92,0.33,2010.0,0.0,6.0,40.0,0.0,148.0,2.45,329.83,10.72,0.0,g,29.83,0.37,0.0,76.4,0.0,0.0,0.0,0.004,2.48,0.0,61,12.0,1.0,2.0
