mercury,price,calories,vitamin_b12,iodine,vitamin_k1,calcium,zinc,name,chromium,price_100g,vitamin_b6,selenium,molybdenum,magnesium,iron,pantothenic_acid,edible_portion,manganese,phosphorus,riboflavin,vitamin_c,folate_dfe,copper,potassium,niacin_ne,vitamin_a_rae,biotin,vit_e_a_tocopherol,quantity_unit,quantity,protein,o3_epa_dha_dpa,thiamin
0.0,299.0,23.64,0.0,0.44,0.0,27.0,0.2,Carrot; root vegetable; taproot; frozen; raw; Red Cored Chantenay,0.0,30,0.01,1.5e-4,0.0,7.0,0.37,0.19,1.0,0.13,14.0,0.01,2.1,0.01,0.05,110.0,0.65,1486.3,0.0006,0.2,kg,1.0,0.63,0.0,0.03
0.0,699.0,44.3,0.0,0.13,0.0,16.0,0.29,Apricot; flesh & skin; raw; Moorpark,0.0,74,0.11,1.7e-4,0.0,9.0,0.48,0.27,0.94,0.11,22.0,0.08,7.8,0.0086,0.14,240.0,0.9,1158.81,0.0019,1.45,kg,1.0,0.63,0.0,0.03
0.0,599.0,217.1,0.0038,50.0,0.0,16.1,2.5,Beef; corned; canned; Corned Beef; Golden Country,0.0,176,0.15,0.0093,0.0,16.0,3.0,0.0,1.0,0.029,128.0,0.11,0.0,0.005,0.16,195.0,7.1,18.07,0.0,0.56,g,340.0,15.8,0.016,0.0
0.0,290.0,60.75,0.0,2.0,0.0114,35.0,0.38,Tomato; paste; canned; composite,0.0,104,2.09,0.0009,0.0,41.0,0.99,0.0,1.0,0.22,70.0,0.24,8.3,0.0,0.24,900.0,2.49,162.83,0.0,3.48,g,280.0,3.56,0.001,0.14
0.0,1699.0,185.67,2.3e-4,0.24,0.0,6.35,1.05,Chicken; mince; pan fried; with no added fat; premium; Tegal,0.0,170,1.06,0.03343,0.0,34.62,0.46,0.0,1.0,0.01592,305.61,0.24,0.0,0.0,0.03,445.68,15.86,7.88,0.0,0.97,kg,1.0,34.65,0.005,0.16
0.0,149.0,249.92,0.0,0.1,0.0,11.0,0.72,Avocado; flesh; raw; combined varieties,0.0,133,0.92,0.001,0.0,32.0,0.77,0.0,0.66,0.21,52.0,0.12,7.3,0.081,0.26,560.0,1.6,8.13,0.0,1.91,ea,1.0,2.0,0.0,0.02
0.0,599.0,56.29,8.0e-5,0.0,0.00607,17.32,0.08,Kiwifruit; gold; flesh & seed; raw; Zespri SunGold Kiwifruit (Gold3),0.0,83,0.08,4.4e-4,0.0,12.28,0.21,0.12,0.7228,0.0476,25.2,0.07,161.33,0.03064,0.15,315.0,0.57,2.33,0.0,1.42,kg,1.0,1.02,0.0,0.0
0.0,499.0,56.25,0.0002,0.0,0.01457,27.0,0.12,Kiwifruit; green; flesh & seed; raw; Zespri Sweet Green Kiwifruit (Green14),0.0,66,0.18,0.0008,0.0,16.22,0.22,0.22,0.7524,0.1066,28.6,0.11,149.97,0.03842,0.15,328.0,0.63,5.76,0.0006,1.65,kg,1.0,1.27,0.0,0.0
0.0,189.0,25.55,0.0,6.0,0.0,6.3,0.2,Capsicum; fruit vegetable; stalk & seeds removed; raw; Red,0.0,289,0.56,0.0,0.0,9.8,0.34,0.0,0.8831,0.12,24.0,0.14,144.0,0.085,0.04,210.0,1.05,155.31,0.0,0.01,ea,1.0,0.94,0.0,0.0
0.0,179.0,26.63,0.0,0.18,0.0,33.0,0.47,Broccoli; inflorescent vegetable; raw,0.0,170,0.33,0.005,0.0,18.0,0.6,0.0,0.7,0.22,78.0,0.19,99.0,0.049,0.05,350.0,1.2,105.21,0.0,0.98,ea,1.0,3.78,0.0,0.08
0.0,699.0,897.2,0.0,0.5,0.0,0.18,0.04,Oil; olive,0.0,280,0.0,0.0,0.0,0.0,0.38,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,ml,250.0,0.0,0.0,0.0
0.0,399.0,12.7,0.0,8.4,0.1361,150.0,0.37,Salad; leafy vegetable; raw; Mesclun; composite,0.0,307,0.31,0.0,0.0,31.0,1.11,0.0,1.0,0.63,37.0,0.25,4.4,0.157,0.06,400.0,0.73,481.63,0.0,0.0,g,130.0,2.5,0.001,0.0
0.0,399.0,13.6,0.0,11.4,0.1148,69.0,0.62,Spinach; leafy vegetable; raw; English,0.0,115,0.16,0.0,0.0,74.0,4.4,0.0,0.8692,0.74,47.0,0.24,2.9,0.199,0.07,710.0,1.01,403.14,0.0,0.0,g,400.0,2.5,0.001,0.0
0.0,549.0,31.73,0.0,0.83,0.03834,47.65,0.08,Celery; stem vegetable; stalk; stir fried; green; American Green,0.0,153,0.07,0.0,0.0,10.41,0.14,0.31,1.0,0.10658,30.09,0.05,0.75,0.0,0.02,426.32,0.18,11.8,0.0,0.78,ea,1.0,0.68,0.0,0.01
0.0,589.0,52.6,3.1e-4,39.3,0.0,153.0,8.1,Crabmeat; in brine; canned,0.0,787,0.1,0.045,0.0,30.0,0.9,0.24,0.44,0.19,190.0,0.0,0.0,0.029,0.79,22.0,1.9,5.85,0.0034,2.25,g,170.0,11.13,0.0,0.0
0.0,1087.0,208.31,0.00197,1.25,0.0,5.85,7.81,Beef; forequarter chuck steak; separable lean; braised,0.0,119,0.15,0.00208,0.0,19.14,2.71,0.0,0.91,0.01038,156.96,0.14,0.0,0.00594,0.1,188.52,7.03,12.16,0.0,0.9,kg,1.0,32.08,0.07200000000000001,0.03
0.0,299.0,62.68,0.0,0.28,0.0,2.7,0.24,Potato; root vegetable; stem tuber; flesh; boiled; combined cultivars,0.0,30,0.16,4.7e-4,0.0,14.0,0.33,0.0,1.0,0.13,28.0,0.02,9.0,0.0141,0.09,260.0,1.49,1.17,0.0,0.06,kg,1.0,1.41,0.0,0.02
