magnesium,iodine,biotin,edible_portion,mercury,vitamin_k1,chromium,potassium,niacin_ne,name,zinc,price,iron,copper,vit_e_a_tocopherol,phosphorus,vitamin_c,thiamin,selenium,protein,calories,o3_epa_dha_dpa,riboflavin,quantity_unit,quantity,folate_dfe,manganese,calcium,vitamin_b6,vitamin_b12,price_100g,molybdenum,vitamin_a_rae,pantothenic_acid
14.4,8.9,0.0,1.0,0.0,0.0,0.0,220.0,1.29,Yoghurt; Greek style; low fat ; Fresh 'n Fruity,0.6,550.0,0.0,0.0,0.0,124.0,0.0,0.02,0.0017,5.68,63.41,0.006,1.31,kg,1.0,0.0,0.0047,167.0,0.06,5.8e-4,55,0.0,38.89,0.3
268.0,2.0,0.0,1.0,0.0,0.0,0.0,705.0,6.95,Nut; almond; raw; dried; unblanched,3.08,900.0,3.72,1.0,26.34,484.0,0.0,0.21,0.0025,21.22,548.22,0.0,1.01,g,450.0,0.05,2.285,264.0,0.14,0.0,200,0.0,0.17,0.47
21.92,1.66,0.0,0.723,0.0,0.0,0.0,187.1,10.59,Lamb; offal; heart; simmered & drained,2.66,449.0,4.94,0.64,0.63,237.17,0.0,0.23,0.0203,26.26,160.91,0.136,0.84,g,600.0,0.0,0.02774,5.48,0.13,0.00918,104,0.0,3.55,1.83
21.0,0.93,0.053,0.56,0.0,0.0,0.0,190.0,11.35,Pork; kidney; core removed; stewed; salt added,4.7,199.0,6.4,0.84,0.36,330.0,11.0,0.19,0.25,24.44,152.65,0.0,2.1,g,400.0,0.043,0.07,13.0,0.28,0.015,89,0.0,140.0,2.4
30.0,34.9,0.005,0.81,0.0,0.0,0.0,300.0,11.0,Salmon; chum; canned; drained,1.0,259.0,0.7,0.1,1.5,354.0,0.0,0.02,0.075,21.63,137.2,0.0,0.16,g,210.0,0.02,0.02,249.0,0.38,0.0044,152,0.0,90.0,0.56
260.0,4.5,0.0,1.0,0.0,0.0,0.0,940.0,11.4,Powder; mustard,6.5,349.0,10.9,0.2,5.74,180.0,0.0,1.3,0.1336,28.88,449.8,0.0,0.0,g,57.0,0.162,1.9,330.0,0.0,0.0,612,0.0,5.85,0.0
128.0,2.3,0.0,1.0,0.0,0.0,0.0,392.0,1.77,Nut; pecan; dried; raw,5.47,499.0,2.13,1.18,6.64,291.0,2.0,0.85,0.0053,7.74,694.55,0.0,0.13,g,115.0,0.022,4.51,36.0,0.19,0.0,434,0.0,4.18,1.71
36.0,0.93,0.0037,1.0,0.0,0.0,0.0,572.0,11.11,Pork; schnitzel; lean; fried,3.36,2499.0,1.98,0.09,0.2,349.0,0.8,0.81,0.0066,31.5,160.65,0.0,0.07,kg,1.0,0.0013,0.026,7.0,0.16,5.1e-4,250,0.0,0.0,1.03
152.0,6.0,0.0,1.0,0.0,0.0,0.0,2010.0,10.72,Spice; pepper; red or cayenne,2.48,239.0,7.8,0.37,29.83,293.0,76.4,0.33,0.004,12.0,329.83,0.0,0.92,g,40.0,0.106,2.0,148.0,2.45,0.0,598,0.0,4175.0,0.0
7.0,0.44,0.0006,1.0,0.0,0.0,0.0,110.0,0.65,Carrot; root vegetable; taproot; frozen; raw; Red Cored Chantenay,0.2,299.0,0.37,0.05,0.2,14.0,2.1,0.03,1.5e-4,0.63,23.64,0.0,0.01,kg,1.0,0.01,0.13,27.0,0.01,0.0,30,0.0,1486.3,0.19
9.0,0.13,0.0019,0.94,0.0,0.0,0.0,240.0,0.9,Apricot; flesh & skin; raw; Moorpark,0.29,699.0,0.48,0.14,1.45,22.0,7.8,0.03,1.7e-4,0.63,44.3,0.0,0.08,kg,1.0,0.0086,0.11,16.0,0.11,0.0,74,0.0,1158.81,0.27
16.0,50.0,0.0,1.0,0.0,0.0,0.0,195.0,7.1,Beef; corned; canned; Corned Beef; Golden Country,2.5,599.0,3.0,0.16,0.56,128.0,0.0,0.0,0.0093,15.8,217.1,0.016,0.11,g,340.0,0.005,0.029,16.1,0.15,0.0038,176,0.0,18.07,0.0
41.0,2.0,0.0,1.0,0.0,0.0114,0.0,900.0,2.49,Tomato; paste; canned; composite,0.38,290.0,0.99,0.24,3.48,70.0,8.3,0.14,0.0009,3.56,60.75,0.001,0.24,g,280.0,0.0,0.22,35.0,2.09,0.0,104,0.0,162.83,0.0
34.62,0.24,0.0,1.0,0.0,0.0,0.0,445.68,15.86,Chicken; mince; pan fried; with no added fat; premium; Tegal,1.05,1699.0,0.46,0.03,0.97,305.61,0.0,0.16,0.03343,34.65,185.67,0.005,0.24,kg,1.0,0.0,0.01592,6.35,1.06,2.3e-4,170,0.0,7.88,0.0
