mercury,chromium,copper,price_100g,pantothenic_acid,folate_dfe,iodine,name,potassium,magnesium,calcium,phosphorus,zinc,vitamin_b12,vitamin_k1,biotin,o3_epa_dha_dpa,manganese,vitamin_c,quantity,edible_portion,calories,iron,vitamin_a_rae,niacin_ne,vit_e_a_tocopherol,protein,vitamin_b6,molybdenum,price,quantity_unit,selenium,thiamin,riboflavin
0.0,0.0,0.64,104,1.83,0.0,1.66,Lamb; offal; heart; simmered & drained,187.1,21.92,5.48,237.17,2.66,0.00918,0.0,0.0,0.136,0.02774,0.0,600.0,0.723,160.91,4.94,3.55,10.59,0.63,26.26,0.13,0.0,449.0,g,0.0203,0.23,0.84
0.0,0.0,0.84,89,2.4,0.043,0.93,Pork; kidney; core removed; stewed; salt added,190.0,21.0,13.0,330.0,4.7,0.015,0.0,0.053,0.0,0.07,11.0,400.0,0.56,152.65,6.4,140.0,11.35,0.36,24.44,0.28,0.0,199.0,g,0.25,0.19,2.1
0.0,0.0,0.1,152,0.56,0.02,34.9,Salmon; chum; canned; drained,300.0,30.0,249.0,354.0,1.0,0.0044,0.0,0.005,0.0,0.02,0.0,210.0,0.81,137.2,0.7,90.0,11.0,1.5,21.63,0.38,0.0,259.0,g,0.075,0.02,0.16
0.0,0.0,0.2,612,0.0,0.162,4.5,Powder; mustard,940.0,260.0,330.0,180.0,6.5,0.0,0.0,0.0,0.0,1.9,0.0,57.0,1.0,449.8,10.9,5.85,11.4,5.74,28.88,0.0,0.0,349.0,g,0.1336,1.3,0.0
0.0,0.0,1.18,434,1.71,0.022,2.3,Nut; pecan; dried; raw,392.0,128.0,36.0,291.0,5.47,0.0,0.0,0.0,0.0,4.51,2.0,115.0,1.0,694.55,2.13,4.18,1.77,6.64,7.74,0.19,0.0,499.0,g,0.0053,0.85,0.13
0.0,0.0,0.09,250,1.03,0.0013,0.93,Pork; schnitzel; lean; fried,572.0,36.0,7.0,349.0,3.36,5.1e-4,0.0,0.0037,0.0,0.026,0.8,1.0,1.0,160.65,1.98,0.0,11.11,0.2,31.5,0.16,0.0,2499.0,kg,0.0066,0.81,0.07
0.0,0.0,0.37,598,0.0,0.106,6.0,Spice; pepper; red or cayenne,2010.0,152.0,148.0,293.0,2.48,0.0,0.0,0.0,0.0,2.0,76.4,40.0,1.0,329.83,7.8,4175.0,10.72,29.83,12.0,2.45,0.0,239.0,g,0.004,0.33,0.92
0.0,0.0,0.05,30,0.19,0.01,0.44,Carrot; root vegetable; taproot; frozen; raw; Red Cored Chantenay,110.0,7.0,27.0,14.0,0.2,0.0,0.0,0.0006,0.0,0.13,2.1,1.0,1.0,23.64,0.37,1486.3,0.65,0.2,0.63,0.01,0.0,299.0,kg,1.5e-4,0.03,0.01
0.0,0.0,0.14,74,0.27,0.0086,0.13,Apricot; flesh & skin; raw; Moorpark,240.0,9.0,16.0,22.0,0.29,0.0,0.0,0.0019,0.0,0.11,7.8,1.0,0.94,44.3,0.48,1158.81,0.9,1.45,0.63,0.11,0.0,699.0,kg,1.7e-4,0.03,0.08
0.0,0.0,0.16,176,0.0,0.005,50.0,Beef; corned; canned; Corned Beef; Golden Country,195.0,16.0,16.1,128.0,2.5,0.0038,0.0,0.0,0.016,0.029,0.0,340.0,1.0,217.1,3.0,18.07,7.1,0.56,15.8,0.15,0.0,599.0,g,0.0093,0.0,0.11
