quantity,riboflavin,chromium,o3_epa_dha_dpa,name,molybdenum,vitamin_k1,potassium,manganese,iodine,niacin_ne,quantity_unit,vitamin_c,mercury,copper,vitamin_b6,calories,vitamin_b12,price,biotin,thiamin,iron,price_100g,folate_dfe,vit_e_a_tocopherol,zinc,pantothenic_acid,calcium,protein,id,magnesium,edible_portion,phosphorus,selenium,vitamin_a_rae
210.0,0.16,0.0,0.0,Salmon; chum; canned; drained,0.0,0.0,300.0,0.02,34.9,11.0,g,0.0,0.0,0.1,0.38,137.2,0.0044,259.0,0.005,0.02,0.7,152,0.02,1.5,1.0,0.56,249.0,21.63,57,30.0,0.81,354.0,0.075,90.0
12.0,0.38,0.0,0.0,Egg; chicken; white & yolk; fried in butter,0.011,0.0,160.0,0.029,55.0,4.5,ea,0.0,0.0,0.06,0.03,210.95,0.00139,700.0,0.0,0.07,2.1,5833,0.0875,1.52,1.3,0.0,65.0,15.0,22,14.0,1.0,230.0,0.027,221.85
1.0,0.11,0.0,0.0,Kiwifruit; green; flesh & seed; raw; Zespri Sweet Green Kiwifruit (Green14),0.0,0.01457,328.0,0.1066,0.0,0.63,kg,149.97,0.0,0.15,0.18,56.25,0.0002,499.0,0.0006,0.0,0.22,66,0.03842,1.65,0.12,0.22,27.0,1.27,69,16.22,0.7524,28.6,0.0008,5.76
1.0,0.12,0.0,0.0,Avocado; flesh; raw; combined varieties,0.0,0.0,560.0,0.21,0.1,1.6,ea,7.3,0.0,0.26,0.92,249.92,0.0,149.0,0.0,0.02,0.77,22576,0.081,1.91,0.72,0.0,11.0,2.0,67,32.0,0.66,52.0,0.001,8.13
30.0,2.35,0.0,0.755,Seaweed; sea vegetable; sheet; toasted; Nori,0.0,0.0,2.8e3,3.9,3.0e3,17.1,g,134.0,0.0,1.3,1.38,229.4,0.067,259.0,0.0,0.17,20.0,863,0.0117,1.95,4.4,0.0,240.0,38.75,16,360.0,1.0,610.0,0.02,1442.05
1.0,0.26,0.0,0.0,Bean; seed vegetable; seed; dry; Mung,0.0,0.0,1250.0,0.8,0.13,5.9,kg,5.0,0.0,0.47,0.38,271.95,0.0,1050.0,0.001,0.36,6.0,42,0.216,1.97,2.7,1.91,89.0,26.81,45,150.0,1.0,360.0,0.011,4.01
100.0,0.32,0.0,0.0,Seed; pumpkin; roasted; salt added,0.0,0.0,806.0,1.55,9.0,11.38,g,0.3,0.0,1.38,0.09,555.22,0.0,249.0,0.082,0.2,14.9,249,0.057,2.0,7.44,0.04,43.0,32.91,28,534.0,1.0,1170.0,0.006,0.92
170.0,0.0,0.0,0.0,Crabmeat; in brine; canned,0.0,0.0,22.0,0.19,39.3,1.9,g,0.0,0.0,0.79,0.1,52.6,3.1e-4,589.0,0.0034,0.0,0.9,787,0.029,2.25,8.1,0.24,153.0,11.13,76,30.0,0.44,190.0,0.045,5.85
500.0,0.2,0.0,0.0,Apricot; dried,0.0,0.0,1510.0,0.38,2.2,3.09,g,1.0,0.0,0.46,0.14,202.65,0.0,899.0,0.0045,0.01,3.1,180,0.011,2.4,0.8,0.56,67.0,4.31,52,57.0,1.0,120.0,6.8e-4,107.72
375.0,0.25,0.0,0.0,Seed; sesame butter; Tahini,0.0,0.0,190.0,1.1,2.3,9.8,g,0.0,0.0,1.7,0.76,633.44,0.0,799.0,0.011,0.95,5.1,213,0.099,2.57,5.2,2.17,330.0,20.41,47,320.0,1.0,730.0,0.0114,1.17
